topic_tag,record_count,weighted_avg_confidence
Infrastructure,265,0.6621132075471698
Immunization,217,0.7011520737327189
Equipment,206,0.6825728155339805
HR,175,0.6250857142857142
Referral,169,0.7080473372781065
Governance,157,0.6976433121019109
Data Systems,145,0.6263448275862068
PhilHealth,129,0.6796899224806201
Emergency/Transport,110,0.7603636363636364
Accreditation,108,0.7286111111111111
TB,92,0.6810869565217391
Revenue,76,0.6599999999999999
Cold Chain,73,0.6908219178082192
WASH,70,0.6041428571428572
GIDA Access,50,0.7486
NCD,47,0.6612765957446808
Mental Health,24,0.7858333333333332
Dental/Oral Health,18,0.6583333333333332
